Geneid;MGIsymbol;logFC_group1-group2;logFC_group1-group3;logFC_group2-group1;logFC_group2-group3;logFC_group3-group1;logFC_group3-group2;padj_group1-group2;padj_group1-group3;padj_group2-group1;padj_group2-group3;padj_group3-group1;padj_group3-group2;P.value_group1-group2;P.value_group1-group3;P.value_group2-group1;P.value_group2-group3;P.value_group3-group1;P.value_group3-group2
ENSMUSG00000034171;Faah;-0,056338440067247;-0,162619478774271;0,056338440067247;-0,106281038707024;0,162619478774271;0,106281038707024;0,119714275120737;0,002750037076757;0,119714275120737;0,021357162781334;0,002750037076757;0,021357162781334;0,000119714275121;2,75003707675712E-06;0,000119714275121;2,13571627813339E-05;2,75003707675712E-06;2,13571627813339E-05
ENSMUSG00000044149;Nkrf;3,21100560038014;3,50110502384167;-3,21100560038014;0,290099423461532;-3,50110502384167;-0,290099423461533;0,004067757222918;0,001519110926157;0,004067757222918;0,646056297395679;0,001519110926157;0,646056297395678;4,06775722291771E-06;1,51911092615672E-06;4,06775722291769E-06;0,000646056297396;1,51911092615672E-06;0,000646056297396
ENSMUSG00000042742;B630005N14Rik;0,391000369130489;0,13106817360705;-0,391000369130489;-0,259932195523439;-0,13106817360705;0,259932195523439;0,106306995177199;0,534204266089721;0,106306995177199;0,256377692297838;0,53420426608972;0,256377692297839;0,000106306995177;0,00053420426609;0,000106306995177;0,000256377692298;0,00053420426609;0,000256377692298
ENSMUSG00000064390;Rnu73b;-0,860567991648614;-0,394383001122854;0,860567991648614;0,46618499052576;0,394383001122854;-0,46618499052576;0,037598273859843;0,22150434975168;0,037598273859843;0,188517809784882;0,22150434975168;0,188517809784882;3,75982738598427E-05;0,000221504349752;3,75982738598427E-05;0,000188517809785;0,000221504349752;0,000188517809785
ENSMUSG00000039678;Tbc1d13;0,132757428756775;-0,071265381797318;-0,132757428756775;-0,204022810554093;0,071265381797318;0,204022810554093;0,041728608273256;0,172847603353966;0,041728608273256;0,011943219096182;0,172847603353965;0,011943219096182;4,1728608273256E-05;0,000172847603354;4,17286082732561E-05;1,19432190961822E-05;0,000172847603354;1,19432190961822E-05
ENSMUSG00000062175;Tgif2;1,93266516963919;2,15744650089424;-1,93266516963919;0,224781331255053;-2,15744650089424;-0,224781331255053;0,010142345647374;0,004043352147822;0,010142345647374;0,660620889289553;0,004043352147822;0,660620889289554;1,01423456473736E-05;4,04335214782235E-06;1,01423456473736E-05;0,00066062088929;4,04335214782234E-06;0,00066062088929
ENSMUSG00000031536;Polb;0,722882377470692;0,330487919765407;-0,722882377470692;-0,392394457705285;-0,330487919765407;0,392394457705285;0,57451828715122;0,788761036575544;0,57451828715122;0,765527671067701;0,788761036575544;0,765527671067701;0,000574518287151;0,000788761036576;0,000574518287151;0,000765527671068;0,000788761036576;0,000765527671068
ENSMUSG00000037306;Man1c1;0,73795547717609;0,394417083169316;-0,737955477176091;-0,343538394006774;-0,394417083169316;0,343538394006774;0,016309199151221;0,082113333547019;0,016309199151221;0,14638220187125;0,082113333547019;0,14638220187125;1,63091991512212E-05;8,21133335470186E-05;1,63091991512213E-05;0,000146382201871;8,21133335470186E-05;0,000146382201871
ENSMUSG00000038010;Ccdc138;-0,498886119582774;-1,64053737592166;0,498886119582774;-1,14165125633889;1,64053737592166;1,14165125633889;0,109641821428781;0,001519110926157;0,109641821428781;0,010326423224687;0,001519110926157;0,010326423224687;0,000109641821429;1,51911092615672E-06;0,000109641821429;1,03264232246866E-05;1,51911092615672E-06;1,03264232246866E-05
ENSMUSG00000091243;Vgll3;0,088240282980339;0,171990815728387;-0,088240282980339;0,083750532748048;-0,171990815728387;-0,083750532748048;0,450562467241898;0,132617006604191;0,450562467241898;0,47314067007183;0,132617006604191;0,47314067007183;0,000450562467242;0,000132617006604;0,000450562467242;0,000473140670072;0,000132617006604;0,000473140670072
ENSMUSG00000032392;Parp16;-0,295861699265038;-0,092577809977353;0,295861699265038;0,203283889287685;0,092577809977353;-0,203283889287685;0,020022426982929;0,300435266105192;0,020022426982929;0,065007629419673;0,300435266105192;0,065007629419673;2,00224269829294E-05;0,000300435266105;2,00224269829294E-05;6,50076294196731E-05;0,000300435266105;6,5007629419673E-05
ENSMUSG00000091475;2810468N07Rik;-0,505243148563731;-1,1290781676377;0,505243148563731;-0,623835019073974;1,1290781676377;0,623835019073974;0,523371432145081;0,140266351183013;0,523371432145081;0,427274715941975;0,140266351183013;0,427274715941975;0,000523371432145;0,000140266351183;0,000523371432145;0,000427274715942;0,000140266351183;0,000427274715942
ENSMUSG00000037573;Tob1;0,030411314576949;-0,431027469868621;-0,030411314576949;-0,46143878444557;0,431027469868621;0,46143878444557;0,874732929893816;0,032319669531996;0,874732929893813;0,038028971126549;0,032319669531996;0,038028971126549;0,000874732929894;3,23196695319962E-05;0,000874732929894;3,80289711265487E-05;3,23196695319961E-05;3,80289711265487E-05
ENSMUSG00000036853;Mcoln3;-0,533652676397087;-0,876963732571199;0,533652676397088;-0,343311056174111;0,876963732571199;0,343311056174111;0,028901159878097;0,003319789135208;0,028901159878097;0,106778647666996;0,003319789135208;0,106778647666995;2,89011598780965E-05;3,31978913520821E-06;2,89011598780965E-05;0,000106778647667;3,31978913520821E-06;0,000106778647667
ENSMUSG00000084306;Gm11743;-1,12872318892087;-1,27641432755856;1,12872318892087;-0,147691138637684;1,27641432755856;0,147691138637684;0,009369360437363;0,003499039239813;0,009369360437363;0,611354448361499;0,003499039239813;0,611354448361499;9,36936043736326E-06;3,4990392398131E-06;9,36936043736331E-06;0,000611354448361;3,49903923981311E-06;0,000611354448361
ENSMUSG00000026241;Nppc;1,04438456032785;0,98798437649213;-1,04438456032785;-0,056400183835716;-0,987984376492131;0,056400183835716;0,039988247653946;0,035396378113443;0,039988247653946;0,902247861591274;0,035396378113443;0,902247861591274;3,99882476539461E-05;3,53963781134427E-05;3,99882476539462E-05;0,000902247861591;3,53963781134427E-05;0,000902247861591
ENSMUSG00000022218;Tgm1;0,376865699992145;0,310243352064038;-0,376865699992145;-0,066622347928107;-0,310243352064039;0,066622347928107;0,001428912467348;0,000833422194965;0,001428912467348;0,168406242258706;0,000833422194965;0,168406242258706;1,42891246734758E-06;8,33422194965095E-07;1,42891246734759E-06;0,000168406242259;8,33422194965086E-07;0,000168406242259
ENSMUSG00000031383;Dusp9;0,202694682700693;0,081080682168228;-0,202694682700693;-0,121614000532466;-0,081080682168228;0,121614000532466;0,355974460114691;0,697340198949803;0,355974460114691;0,582761818019912;0,697340198949803;0,582761818019911;0,000355974460115;0,00069734019895;0,000355974460115;0,00058276181802;0,00069734019895;0,00058276181802
ENSMUSG00000038671;Arfrp1;-0,690926569305327;-1,01401489648011;0,690926569305327;-0,323088327174781;1,01401489648011;0,323088327174781;0,176495187643792;0,054305604940692;0,176495187643792;0,516161324319343;0,054305604940692;0,516161324319343;0,000176495187644;5,43056049406924E-05;0,000176495187644;0,000516161324319;5,43056049406924E-05;0,000516161324319
ENSMUSG00000025423;Pias2;-0,091591364719687;-0,195852837720018;0,091591364719687;-0,104261473000331;0,195852837720018;0,104261473000331;0,149299430776807;0,011650470158258;0,149299430776807;0,11634810132977;0,011650470158258;0,11634810132977;0,000149299430777;1,16504701582578E-05;0,000149299430777;0,00011634810133;1,16504701582578E-05;0,00011634810133
ENSMUSG00000030376;Slc8a2;-0,097690655970886;-0,323301899553049;0,097690655970886;-0,225611243582163;0,323301899553049;0,225611243582163;0,484028614860583;0,036196959122733;0,484028614860583;0,13180693525859;0,036196959122733;0,13180693525859;0,000484028614861;3,61969591227326E-05;0,000484028614861;0,000131806935259;3,61969591227327E-05;0,000131806935259
ENSMUSG00000041115;Iqsec2;0,209419160465163;0,079666637207387;-0,209419160465163;-0,129752523257776;-0,079666637207387;0,129752523257776;0,013210798905939;0,162979333672518;0,013210798905939;0,059995608060965;0,162979333672518;0,059995608060965;1,32107989059391E-05;0,000162979333673;1,32107989059391E-05;5,99956080609649E-05;0,000162979333673;5,9995608060965E-05
