Geneid,group1_1,group1_2,group1_3,group2_1,group2_2,group2_3,group3_1,group3_2,group3_3
ENSMUSG00000021215,10.0797801422999,9.97849200649933,9.96261303510253,10.3594383766794,10.2702397071983,10.4014047667655,10.3339652593725,10.3265065614453,10.3036868184792
ENSMUSG00000073386,5.38205179335119,5.31510567585096,5.29872130665157,5.76381308260263,5.71508600991304,5.69689060357153,5.50016609563006,5.48629662045707,5.56896063602413
ENSMUSG00000027193,3.88593159756514,4.10001172827125,3.88283777042202,3.83639928798913,3.88657243299315,3.62484878705878,3.87420241098847,3.76418977403535,4.04489028511501
ENSMUSG00000038957,6.41293277747139,6.69559738289351,6.69474189709902,6.16835052092955,6.3473096711419,6.318585439233,6.32721550132575,6.36366587143595,6.72411264222975
ENSMUSG00000076122,6.27971142528209,6.02019586460846,6.23407381916522,5.9809729467501,6.11021868605023,6.02496024546848,5.79276419511322,5.80682029164823,5.615671464707
ENSMUSG00000045962,3.56117304748759,3.63541817182157,3.92095654773313,3.59630387476812,3.25181924653871,4.01209849518338,3.63557708828992,3.1237692563365,3.16554903929429
ENSMUSG00000030978,0.149482379060073,0.218056013602095,0.468576893715044,0.686399631970331,0.644320884272798,0.709257963977166,0.780875389758989,1.13747466407365,1.18456291520978
ENSMUSG00000003420,5.87823854441868,5.92571096330113,5.94062078269961,5.76469384971061,5.64282048538816,5.8385219552221,5.74509651203446,5.72855286303921,5.3906339963497
ENSMUSG00000029388,5.1860481832304,4.79554307680137,4.98803663485583,5.21388276527094,5.10022208087676,5.33195659639027,5.16259801267127,5.1723174812394,5.12101296355116
ENSMUSG00000051319,5.58873182735668,5.24113663429003,5.39353179813493,5.58188909031602,5.50640938235587,5.685824820298,5.40567310846762,5.47762194031475,5.1296220131294
ENSMUSG00000027375,3.88269684995227,3.83952309027756,4.02424076294927,3.23881189665163,3.46026037780982,3.36297322392421,3.6278101137855,3.53254926866144,3.4018469100186
