"adj.P.Val_LWT_MCD.LWT_CTRL";"adj.P.Val_LKO_MCD.LKO_CTRL";"adj.P.Val_LKO_MCD.LWT_MCD";"adj.P.Val_LKO_CTRL.LWT_CTRL";"adj.P.Val_.LWT_MCD.LWT_CTRL...LKO_MCD.LKO_CTRL."
"437";"462";"";"13729";""
"438";"467";"";"13759";""
"440";"470";"";"13817";""
"441";"472";"";"13870";""
"443";"473";"";"14040";""
"444";"474";"";"14097";""
"445";"475";"";"14112";""
"447";"477";"";"14115";""
"450";"479";"";"14195";""
"452";"480";"";"14209";""
"453";"481";"";"14239";""
"456";"482";"";"14256";""
"458";"484";"";"14513";""
"461";"488";"";"14524";""
"462";"490";"";"14615";""
"467";"495";"";"14669";""
"468";"496";"";"14744";""
"470";"498";"";"14759";""
"471";"500";"";"14835";""
"473";"501";"";"15045";""
"474";"502";"";"15075";""
"477";"503";"";"15159";""
"479";"505";"";"15166";""
"480";"506";"";"15183";""
"481";"509";"";"15240";""
"484";"510";"";"15242";""
"488";"511";"";"15476";""
"490";"515";"";"15486";""
"496";"518";"";"15496";""
"498";"519";"";"15591";""
"499";"520";"";"15683";""
"500";"523";"";"15754";""
"501";"524";"";"15817";""
"509";"525";"";"15867";""
"510";"526";"";"15872";""
"511";"528";"";"15990";""
"515";"532";"";"16020";""
"516";"534";"";"16038";""
"518";"535";"";"16042";""
"520";"537";"";"16095";""
"523";"539";"";"16259";""
"525";"544";"";"16334";""
"526";"549";"";"16412";""
"528";"550";"";"16631";""
"529";"551";"";"16739";""
"530";"554";"";"16747";""
"533";"555";"";"16817";""
"534";"564";"";"17065";""
"537";"565";"";"17068";""
"539";"568";"";"17163";""
"543";"570";"";"17298";""
"544";"574";"";"17324";""
"545";"576";"";"17359";""
"547";"577";"";"17394";""
"549";"578";"";"17514";""
"550";"583";"";"17531";""
"551";"584";"";"17532";""
"554";"585";"";"17605";""
"555";"587";"";"17610";""
"558";"589";"";"17637";""
"564";"592";"";"17787";""
"565";"601";"";"17804";""
"568";"605";"";"17920";""
"570";"606";"";"18064";""
"573";"607";"";"18111";""
"574";"608";"";"18212";""
"576";"611";"";"18222";""
"577";"614";"";"18258";""
"578";"615";"";"18269";""
"581";"621";"";"18278";""
"582";"622";"";"18339";""
"584";"623";"";"18406";""
"585";"624";"";"18439";""
"589";"628";"";"18447";""
"591";"629";"";"18464";""
"592";"630";"";"18516";""
"601";"632";"";"18617";""
"602";"633";"";"18642";""
"604";"637";"";"18690";""
"607";"641";"";"18714";""
"611";"642";"";"18727";""
"614";"643";"";"18800";""
"615";"649";"";"18978";""
"619";"653";"";"19010";""
"621";"655";"";"19068";""
"622";"658";"";"19069";""
"623";"659";"";"19091";""
"627";"660";"";"19132";""
"629";"664";"";"19183";""
"630";"667";"";"19334";""
"633";"673";"";"19374";""
