"adj.P.Val_LWT_MCD.LWT_CTRL";"adj.P.Val_LKO_MCD.LKO_CTRL";"adj.P.Val_LKO_MCD.LWT_MCD";"adj.P.Val_LKO_CTRL.LWT_CTRL";"adj.P.Val_.LWT_MCD.LWT_CTRL...LKO_MCD.LKO_CTRL."
"7382";"7995";"";"";""
"7383";"7996";"";"";""
"7384";"8000";"";"";""
"7385";"8002";"";"";""
"7390";"8003";"";"";""
"7396";"8004";"";"";""
"7397";"8006";"";"";""
"7398";"8008";"";"";""
"7400";"8009";"";"";""
"7401";"8011";"";"";""
"7403";"8013";"";"";""
"7405";"8019";"";"";""
"7406";"8025";"";"";""
"7407";"8026";"";"";""
"7408";"8028";"";"";""
"7409";"8031";"";"";""
"7412";"8032";"";"";""
"7419";"8035";"";"";""
"7420";"8038";"";"";""
"7422";"8039";"";"";""
"7424";"8041";"";"";""
"7428";"8042";"";"";""
"7431";"8044";"";"";""
"7433";"8045";"";"";""
"7435";"8047";"";"";""
"7436";"8049";"";"";""
"7439";"8053";"";"";""
"7441";"8054";"";"";""
"7442";"8055";"";"";""
"7445";"8058";"";"";""
"7446";"8061";"";"";""
"7447";"8062";"";"";""
"7450";"8066";"";"";""
"7451";"8076";"";"";""
"7454";"8078";"";"";""
"7459";"8080";"";"";""
"7461";"8081";"";"";""
"7462";"8083";"";"";""
"7464";"8084";"";"";""
"7467";"8088";"";"";""
"7468";"8092";"";"";""
"7469";"8099";"";"";""
"7473";"8101";"";"";""
"7474";"8102";"";"";""
"7475";"8105";"";"";""
"7476";"8106";"";"";""
"7479";"8107";"";"";""
"7482";"8108";"";"";""
"7484";"8109";"";"";""
"7486";"8110";"";"";""
"7487";"8111";"";"";""
"7488";"8112";"";"";""
"7490";"8115";"";"";""
"7492";"8118";"";"";""
"7495";"8120";"";"";""
"7496";"8125";"";"";""
"7499";"8126";"";"";""
"7502";"8129";"";"";""
"7503";"8139";"";"";""
"7506";"8141";"";"";""
"7510";"8142";"";"";""
"7511";"8143";"";"";""
"7512";"8144";"";"";""
"7513";"8147";"";"";""
"7518";"8148";"";"";""
"7519";"8150";"";"";""
"7520";"8153";"";"";""
"7521";"8156";"";"";""
"7525";"8163";"";"";""
"7526";"8165";"";"";""
"7529";"8167";"";"";""
"7530";"8170";"";"";""
"7537";"8171";"";"";""
"7538";"8173";"";"";""
"7539";"8175";"";"";""
"7546";"8178";"";"";""
"7548";"8179";"";"";""
"7549";"8183";"";"";""
"7550";"8184";"";"";""
"7551";"8186";"";"";""
"7552";"8187";"";"";""
"7554";"8190";"";"";""
"7555";"8191";"";"";""
"7557";"8195";"";"";""
"7559";"8196";"";"";""
"7561";"8202";"";"";""
"7563";"8203";"";"";""
"7565";"8205";"";"";""
"7566";"8207";"";"";""
"7567";"8210";"";"";""
"7568";"8217";"";"";""
"7569";"8218";"";"";""
"7570";"8219";"";"";""
"7573";"8221";"";"";""
"7574";"8222";"";"";""
"7575";"8223";"";"";""
"7577";"8224";"";"";""
"7581";"8227";"";"";""
"7583";"8230";"";"";""
"7585";"8231";"";"";""
"7587";"8235";"";"";""
"7588";"8238";"";"";""
"7591";"8247";"";"";""
"7592";"8248";"";"";""
"7593";"8252";"";"";""
"7594";"8253";"";"";""
"7596";"8254";"";"";""
"7597";"8257";"";"";""
"7598";"8262";"";"";""
"7599";"8263";"";"";""
"7601";"8265";"";"";""
"7603";"8266";"";"";""
"7604";"8267";"";"";""
"7605";"8274";"";"";""
"7606";"8275";"";"";""
"7607";"8276";"";"";""
"7608";"8277";"";"";""
"7609";"8278";"";"";""
"7611";"8281";"";"";""
"7614";"8284";"";"";""
"7617";"8287";"";"";""
"7618";"8288";"";"";""
"7621";"8289";"";"";""
"7623";"8290";"";"";""
"7624";"8291";"";"";""
"7625";"8296";"";"";""
"7626";"8297";"";"";""
"7629";"8299";"";"";""
"7630";"8300";"";"";""
"7634";"8302";"";"";""
"7637";"8306";"";"";""
"7638";"8308";"";"";""
"7639";"8309";"";"";""
"7645";"8311";"";"";""
"7647";"8317";"";"";""
"7648";"8318";"";"";""
"7650";"8320";"";"";""
"7652";"8321";"";"";""
"7655";"8323";"";"";""
"7662";"8324";"";"";""
"7663";"8325";"";"";""
"7664";"8326";"";"";""
"7667";"8327";"";"";""
"7668";"8330";"";"";""
"7671";"8331";"";"";""
"7672";"8334";"";"";""
"7675";"8335";"";"";""
"7676";"8336";"";"";""
"7677";"8337";"";"";""
"7678";"8339";"";"";""
"7681";"8340";"";"";""
"7683";"8341";"";"";""
"7686";"8343";"";"";""
"7689";"8344";"";"";""
"7690";"8347";"";"";""
"7693";"8348";"";"";""
"7694";"8350";"";"";""
"7696";"8352";"";"";""
"7697";"8355";"";"";""
"7700";"8356";"";"";""
"7707";"8357";"";"";""
"7709";"8358";"";"";""
"7714";"8360";"";"";""
"7718";"8362";"";"";""
"7721";"8365";"";"";""
"7725";"8367";"";"";""
"7727";"8368";"";"";""
"7730";"8370";"";"";""
"7731";"8371";"";"";""
"7737";"8372";"";"";""
"7738";"8374";"";"";""
"7739";"8375";"";"";""
"7741";"8378";"";"";""
"7743";"8381";"";"";""
"7744";"8386";"";"";""
"7748";"8387";"";"";""
"7749";"8388";"";"";""
"7756";"8391";"";"";""
"7757";"8394";"";"";""
"7758";"8397";"";"";""
"7759";"8399";"";"";""
"7761";"8400";"";"";""
"7763";"8401";"";"";""
"7764";"8404";"";"";""
"7769";"8408";"";"";""
"7770";"8409";"";"";""
"7774";"8410";"";"";""
"7775";"8412";"";"";""
"7776";"8413";"";"";""
"7781";"8414";"";"";""
"7785";"8418";"";"";""
"7787";"8422";"";"";""
"7788";"8431";"";"";""
"7789";"8434";"";"";""
"7790";"8435";"";"";""
"7792";"8440";"";"";""
"7794";"8441";"";"";""
"7795";"8442";"";"";""
"7796";"8444";"";"";""
"7797";"8446";"";"";""
"7800";"8447";"";"";""
"7801";"8448";"";"";""
"7804";"8449";"";"";""
"7808";"8451";"";"";""
"7810";"8454";"";"";""
"7812";"8458";"";"";""
"7817";"8463";"";"";""
"7820";"8464";"";"";""
"7822";"8467";"";"";""
"7824";"8469";"";"";""
"7825";"8471";"";"";""
"7826";"8477";"";"";""
"7827";"8478";"";"";""
"7829";"8480";"";"";""
"7830";"8486";"";"";""
"7831";"8492";"";"";""
"7834";"8493";"";"";""
"7835";"8494";"";"";""
"7838";"8495";"";"";""
"7841";"8496";"";"";""
"7842";"8498";"";"";""
"7843";"8500";"";"";""
"7845";"8501";"";"";""
"7847";"8504";"";"";""
"7850";"8506";"";"";""
"7852";"8507";"";"";""
"7855";"8508";"";"";""
"7857";"8509";"";"";""
"7859";"8513";"";"";""
"7861";"8515";"";"";""
"7862";"8516";"";"";""
"7863";"8518";"";"";""
"7865";"8519";"";"";""
"7867";"8523";"";"";""
"7872";"8525";"";"";""
"7873";"8527";"";"";""
"7876";"8531";"";"";""
"7877";"8532";"";"";""
"7880";"8534";"";"";""
"7882";"8541";"";"";""
"7884";"8543";"";"";""
"7885";"8545";"";"";""
"7886";"8546";"";"";""
"7887";"8547";"";"";""
"7889";"8548";"";"";""
"7891";"8549";"";"";""
"7896";"8550";"";"";""
"7897";"8553";"";"";""
"7898";"8555";"";"";""
"7901";"8559";"";"";""
"7903";"8571";"";"";""
"7904";"8576";"";"";""
"7906";"8577";"";"";""
"7909";"8578";"";"";""
"7915";"8579";"";"";""
"7916";"8580";"";"";""
"7918";"8581";"";"";""
"7919";"8585";"";"";""
"7922";"8587";"";"";""
"7923";"8588";"";"";""
"7924";"8589";"";"";""
"7929";"8591";"";"";""
"7930";"8592";"";"";""
"7932";"8593";"";"";""
"7934";"8598";"";"";""
"7937";"8601";"";"";""
"7938";"8603";"";"";""
"7939";"8607";"";"";""
"7941";"8608";"";"";""
"7942";"8612";"";"";""
"7945";"8616";"";"";""
"7946";"8617";"";"";""
"7949";"8619";"";"";""
"7950";"8622";"";"";""
"7951";"8628";"";"";""
"7952";"8630";"";"";""
"7953";"8635";"";"";""
"7954";"8636";"";"";""
"7955";"8637";"";"";""
"7956";"8642";"";"";""
"7958";"8644";"";"";""
"7959";"8646";"";"";""
"7960";"8647";"";"";""
"7961";"8649";"";"";""
"7963";"8650";"";"";""
"7966";"8651";"";"";""
"7968";"8654";"";"";""
"7969";"8655";"";"";""
"7973";"8656";"";"";""
"7974";"8658";"";"";""
"7975";"8659";"";"";""
"7976";"8660";"";"";""
"7977";"8661";"";"";""
"7978";"8662";"";"";""
"7984";"8663";"";"";""
"7985";"8664";"";"";""
"7989";"8666";"";"";""
"7992";"8667";"";"";""
"7995";"8671";"";"";""
"8002";"8673";"";"";""
"8003";"8674";"";"";""
"8004";"8678";"";"";""
"8009";"8679";"";"";""
"8010";"8680";"";"";""
"8011";"8681";"";"";""
"8013";"8683";"";"";""
"8019";"8684";"";"";""
"8021";"8685";"";"";""
"8022";"8688";"";"";""
"8025";"8689";"";"";""
"8026";"8691";"";"";""
"8027";"8695";"";"";""
"8028";"8698";"";"";""
"8031";"8699";"";"";""
"8032";"8700";"";"";""
"8035";"8703";"";"";""
"8037";"8704";"";"";""
"8038";"8706";"";"";""
"8039";"8708";"";"";""
"8040";"8710";"";"";""
"8042";"8712";"";"";""
"8043";"8713";"";"";""
"8044";"8716";"";"";""
"8045";"8718";"";"";""
"8047";"8720";"";"";""
"8048";"8721";"";"";""
"8049";"8723";"";"";""
"8053";"8724";"";"";""
"8061";"8726";"";"";""
"8066";"8728";"";"";""
"8067";"8732";"";"";""
"8069";"8733";"";"";""
"8070";"8734";"";"";""
"8072";"8735";"";"";""
"8073";"8736";"";"";""
"8074";"8739";"";"";""
"8077";"8742";"";"";""
"8078";"8748";"";"";""
"8081";"8750";"";"";""
"8084";"8753";"";"";""
"8085";"8755";"";"";""
"8088";"8756";"";"";""
"8090";"8758";"";"";""
"8092";"8760";"";"";""
"8095";"8761";"";"";""
"8097";"8762";"";"";""
"8098";"8764";"";"";""
"8099";"8766";"";"";""
"8100";"8767";"";"";""
"8102";"8768";"";"";""
"8105";"8770";"";"";""
"8106";"8775";"";"";""
"8107";"8776";"";"";""
"8108";"8778";"";"";""
"8110";"8780";"";"";""
"8111";"8781";"";"";""
"8112";"8782";"";"";""
"8115";"8783";"";"";""
"8118";"8785";"";"";""
"8120";"8786";"";"";""
"8121";"8791";"";"";""
"8125";"8793";"";"";""
"8126";"8794";"";"";""
"8128";"8798";"";"";""
"8129";"8799";"";"";""
"8131";"8802";"";"";""
"8132";"8804";"";"";""
"8134";"8805";"";"";""
"8135";"8806";"";"";""
"8139";"8809";"";"";""
"8140";"8811";"";"";""
"8141";"8813";"";"";""
"8142";"8827";"";"";""
"8144";"8831";"";"";""
"8145";"8836";"";"";""
"8147";"8837";"";"";""
"8149";"8840";"";"";""
"8150";"8843";"";"";""
"8156";"8844";"";"";""
"8163";"8845";"";"";""
"8165";"8846";"";"";""
"8167";"8847";"";"";""
"8170";"8848";"";"";""
"8171";"8849";"";"";""
"8172";"8852";"";"";""
"8174";"8853";"";"";""
"8178";"8854";"";"";""
"8179";"8857";"";"";""
"8183";"8858";"";"";""
"8184";"8859";"";"";""
"8186";"8861";"";"";""
"8187";"8867";"";"";""
"8188";"8868";"";"";""
"8191";"8869";"";"";""
"8193";"8874";"";"";""
"8195";"8876";"";"";""
"8196";"8877";"";"";""
"8197";"8880";"";"";""
"8202";"8881";"";"";""
"8203";"8884";"";"";""
"8205";"8885";"";"";""
"8210";"8887";"";"";""
"8212";"8888";"";"";""
"8213";"8889";"";"";""
"8217";"8893";"";"";""
"8218";"8895";"";"";""
"8219";"8897";"";"";""
"8220";"8898";"";"";""
"8222";"8899";"";"";""
"8223";"8900";"";"";""
"8227";"8901";"";"";""
"8228";"8902";"";"";""
"8230";"8903";"";"";""
"8231";"8904";"";"";""
"8235";"8907";"";"";""
"8238";"8908";"";"";""
"8247";"8911";"";"";""
"8248";"8914";"";"";""
"8252";"8917";"";"";""
"8254";"8918";"";"";""
"8257";"8921";"";"";""
"8258";"8923";"";"";""
"8261";"8925";"";"";""
"8262";"8926";"";"";""
"8263";"8927";"";"";""
"8265";"8928";"";"";""
"8266";"8929";"";"";""
"8273";"8930";"";"";""
"8275";"8932";"";"";""
"8278";"8933";"";"";""
"8279";"8934";"";"";""
"8281";"8935";"";"";""
"8284";"8937";"";"";""
"8287";"8938";"";"";""
"8288";"8945";"";"";""
"8289";"8946";"";"";""
"8290";"8947";"";"";""
"8291";"8949";"";"";""
"8292";"8951";"";"";""
"8296";"8952";"";"";""
"8297";"8953";"";"";""
"8299";"8954";"";"";""
"8300";"8955";"";"";""
"8302";"8956";"";"";""
"8305";"8957";"";"";""
"8306";"8958";"";"";""
"8307";"8959";"";"";""
"8308";"8960";"";"";""
"8309";"8961";"";"";""
"8311";"8963";"";"";""
"8313";"8965";"";"";""
"8315";"8967";"";"";""
"8317";"8970";"";"";""
"8318";"8973";"";"";""
"8320";"8974";"";"";""
"8321";"8976";"";"";""
"8323";"8977";"";"";""
"8324";"8981";"";"";""
"8325";"8983";"";"";""
"8326";"8985";"";"";""
"8327";"8986";"";"";""
"8330";"8992";"";"";""
"8331";"8994";"";"";""
"8334";"8995";"";"";""
"8335";"8996";"";"";""
"8336";"9001";"";"";""
"8338";"9003";"";"";""
"8340";"9012";"";"";""
"8342";"9013";"";"";""
"8343";"9017";"";"";""
"8348";"9022";"";"";""
"8350";"9023";"";"";""
"8355";"9025";"";"";""
"8356";"9028";"";"";""
"8357";"9031";"";"";""
"8358";"9032";"";"";""
"8362";"9033";"";"";""
"8366";"9035";"";"";""
"8367";"9037";"";"";""
"8368";"9044";"";"";""
"8370";"9045";"";"";""
"8371";"9049";"";"";""
"8372";"9052";"";"";""
"8374";"9053";"";"";""
"8375";"9055";"";"";""
"8377";"9056";"";"";""
"8378";"9060";"";"";""
"8379";"9061";"";"";""
"8381";"9066";"";"";""
"8382";"9070";"";"";""
"8385";"9072";"";"";""
"8386";"9073";"";"";""
"8387";"9074";"";"";""
"8388";"9076";"";"";""
"8391";"9081";"";"";""
"8394";"9082";"";"";""
"8397";"9083";"";"";""
"8400";"9084";"";"";""
"8401";"9086";"";"";""
"8402";"9087";"";"";""
"8404";"9091";"";"";""
"8407";"9096";"";"";""
"8408";"9097";"";"";""
"8409";"9103";"";"";""
"8410";"9104";"";"";""
"8412";"9105";"";"";""
"8413";"9106";"";"";""
"8415";"9107";"";"";""
"8417";"9108";"";"";""
"8418";"9109";"";"";""
"8422";"9110";"";"";""
"8427";"9116";"";"";""
"8430";"9118";"";"";""
"8431";"9119";"";"";""
"8434";"9122";"";"";""
"8435";"9123";"";"";""
"8436";"9124";"";"";""
"8441";"9129";"";"";""
"8442";"9130";"";"";""
"8444";"9132";"";"";""
"8446";"9134";"";"";""
"8448";"9138";"";"";""
"8449";"9139";"";"";""
"8451";"9141";"";"";""
"8454";"9144";"";"";""
"8455";"9145";"";"";""
"8457";"9146";"";"";""
"8458";"9147";"";"";""
"8459";"9148";"";"";""
"8464";"9155";"";"";""
"8466";"9157";"";"";""
"8467";"9158";"";"";""
"8468";"9159";"";"";""
"8469";"9160";"";"";""
"8471";"9161";"";"";""
"8472";"9164";"";"";""
"8474";"9166";"";"";""
"8477";"9167";"";"";""
"8478";"9168";"";"";""
"8480";"9172";"";"";""
"8484";"9173";"";"";""
"8486";"9176";"";"";""
"8488";"9178";"";"";""
"8490";"9180";"";"";""
"8494";"9182";"";"";""
"8495";"9184";"";"";""
"8498";"9185";"";"";""
"8500";"9191";"";"";""
"8501";"9192";"";"";""
"8503";"9199";"";"";""
"8506";"9200";"";"";""
"8507";"9203";"";"";""
"8508";"9207";"";"";""
"8509";"9208";"";"";""
"8513";"9210";"";"";""
"8516";"9211";"";"";""
"8518";"9213";"";"";""
"8519";"9215";"";"";""
"8520";"9216";"";"";""
"8524";"9217";"";"";""
"8525";"9223";"";"";""
"8529";"9224";"";"";""
"8531";"9225";"";"";""
"8532";"9228";"";"";""
"8541";"9229";"";"";""
"8542";"9232";"";"";""
"8543";"9234";"";"";""
"8545";"9236";"";"";""
"8546";"9240";"";"";""
"8547";"9242";"";"";""
"8548";"9247";"";"";""
"8553";"9249";"";"";""
"8554";"9252";"";"";""
"8555";"9253";"";"";""
"8559";"9255";"";"";""
"8563";"9259";"";"";""
"8564";"9265";"";"";""
"8567";"9267";"";"";""
"8571";"9268";"";"";""
"8574";"9273";"";"";""
"8576";"9277";"";"";""
"8578";"9281";"";"";""
"8579";"9282";"";"";""
"8580";"9284";"";"";""
"8581";"9286";"";"";""
"8585";"9289";"";"";""
"8587";"9291";"";"";""
"8588";"9292";"";"";""
"8589";"9294";"";"";""
"8591";"9296";"";"";""
"8592";"9297";"";"";""
"8593";"9300";"";"";""
"8594";"9301";"";"";""
"8598";"9302";"";"";""
"8601";"9303";"";"";""
"8603";"9305";"";"";""
"8605";"9312";"";"";""
"8608";"9313";"";"";""
"8609";"9315";"";"";""
"8610";"9316";"";"";""
"8612";"9318";"";"";""
"8617";"9320";"";"";""
"8619";"9321";"";"";""
"8622";"9322";"";"";""
"8624";"9324";"";"";""
"8628";"9328";"";"";""
"8630";"9333";"";"";""
"8634";"9334";"";"";""
"8636";"9336";"";"";""
"8637";"9341";"";"";""
"8639";"9342";"";"";""
"8641";"9344";"";"";""
"8642";"9345";"";"";""
"8643";"9348";"";"";""
"8644";"9349";"";"";""
"8645";"9351";"";"";""
"8646";"9353";"";"";""
"8647";"9354";"";"";""
"8649";"9355";"";"";""
"8650";"9358";"";"";""
"8651";"9362";"";"";""
"8653";"9367";"";"";""
"8654";"9368";"";"";""
"8655";"9370";"";"";""
"8656";"9372";"";"";""
"8657";"9376";"";"";""
"8658";"9380";"";"";""
"8659";"9383";"";"";""
"8661";"9388";"";"";""
"8662";"9389";"";"";""
"8663";"9390";"";"";""
"8664";"9392";"";"";""
"8666";"9393";"";"";""
"8667";"9397";"";"";""
"8668";"9398";"";"";""
"8669";"9399";"";"";""
"8670";"9400";"";"";""
"8671";"9405";"";"";""
"8673";"9409";"";"";""
"8675";"9414";"";"";""
"8676";"9422";"";"";""
"8678";"9423";"";"";""
"8680";"9424";"";"";""
"8681";"9427";"";"";""
"8683";"9429";"";"";""
"8684";"9430";"";"";""
"8685";"9432";"";"";""
"8688";"9433";"";"";""
"8689";"9435";"";"";""
"8691";"9438";"";"";""
"8695";"9439";"";"";""
"8696";"9441";"";"";""
"8697";"9442";"";"";""
"8699";"9443";"";"";""
"8700";"9446";"";"";""
"8701";"9447";"";"";""
"8703";"9448";"";"";""
"8704";"9449";"";"";""
"8706";"9454";"";"";""
"8708";"9455";"";"";""
"8709";"9456";"";"";""
"8710";"9461";"";"";""
"8711";"9462";"";"";""
"8712";"9464";"";"";""
"8713";"9465";"";"";""
"8716";"9468";"";"";""
"8718";"9469";"";"";""
"8719";"9471";"";"";""
"8720";"9473";"";"";""
"8723";"9478";"";"";""
"8724";"9480";"";"";""
"8725";"9484";"";"";""
"8727";"9485";"";"";""
"8728";"9487";"";"";""
"8731";"9489";"";"";""
"8733";"9491";"";"";""
"8734";"9492";"";"";""
"8735";"9493";"";"";""
"8736";"9495";"";"";""
"8738";"9496";"";"";""
"8739";"9499";"";"";""
"8741";"9500";"";"";""
"8742";"9505";"";"";""
"8743";"9506";"";"";""
"8748";"9507";"";"";""
"8750";"9508";"";"";""
"8753";"9510";"";"";""
"8755";"9513";"";"";""
"8756";"9514";"";"";""
"8758";"9515";"";"";""
"8759";"9516";"";"";""
"8761";"9517";"";"";""
"8766";"9519";"";"";""
"8767";"9522";"";"";""
"8770";"9523";"";"";""
"8771";"9525";"";"";""
"8772";"9529";"";"";""
"8776";"9530";"";"";""
"8778";"9531";"";"";""
"8780";"9532";"";"";""
"8781";"9534";"";"";""
"8782";"9536";"";"";""
"8786";"9538";"";"";""
"8789";"9540";"";"";""
"8790";"9543";"";"";""
"8793";"9544";"";"";""
"8794";"9550";"";"";""
"8799";"9551";"";"";""
"8802";"9552";"";"";""
"8803";"9555";"";"";""
"8804";"9557";"";"";""
"8809";"9558";"";"";""
"8811";"9559";"";"";""
"8813";"9560";"";"";""
"8822";"9561";"";"";""
"8825";"9565";"";"";""
"8826";"9566";"";"";""
"8827";"9567";"";"";""
"8831";"9568";"";"";""
"8836";"9571";"";"";""
"8837";"9573";"";"";""
"8841";"9575";"";"";""
"8842";"9577";"";"";""
"8843";"9578";"";"";""
"8844";"9584";"";"";""
"8846";"9585";"";"";""
"8847";"9588";"";"";""
"8848";"9590";"";"";""
"8849";"9591";"";"";""
"8851";"9592";"";"";""
"8857";"9597";"";"";""
"8859";"9600";"";"";""
"8861";"9603";"";"";""
"8865";"9606";"";"";""
"8867";"9609";"";"";""
"8868";"9612";"";"";""
"8869";"9613";"";"";""
"8870";"9614";"";"";""
"8874";"9618";"";"";""
"8875";"9621";"";"";""
"8876";"9622";"";"";""
"8880";"9623";"";"";""
"8881";"9624";"";"";""
"8884";"9626";"";"";""
"8885";"9630";"";"";""
"8886";"9635";"";"";""
"8887";"9636";"";"";""
"8888";"9643";"";"";""
"8889";"9644";"";"";""
"8893";"9646";"";"";""
"8895";"9650";"";"";""
"8897";"9652";"";"";""
"8898";"9654";"";"";""
"8899";"9655";"";"";""
"8902";"9656";"";"";""
"8903";"9657";"";"";""
"8904";"9658";"";"";""
"8908";"9659";"";"";""
"8909";"9660";"";"";""
"8911";"9667";"";"";""
"8914";"9669";"";"";""
"8916";"9670";"";"";""
"8917";"9672";"";"";""
"8918";"9673";"";"";""
"8919";"9674";"";"";""
"8923";"9676";"";"";""
"8925";"9679";"";"";""
"8927";"9681";"";"";""
"8928";"9683";"";"";""
"8929";"9686";"";"";""
"8930";"9689";"";"";""
"8932";"9694";"";"";""
"8933";"9697";"";"";""
"8934";"9700";"";"";""
"8935";"9701";"";"";""
"8937";"9702";"";"";""
"8938";"9704";"";"";""
"8943";"9705";"";"";""
"8945";"9709";"";"";""
"8946";"9710";"";"";""
"8949";"9713";"";"";""
"8951";"9715";"";"";""
"8953";"9717";"";"";""
"8954";"9722";"";"";""
"8956";"9727";"";"";""
"8957";"9728";"";"";""
"8959";"9730";"";"";""
"8961";"9731";"";"";""
"8962";"9732";"";"";""
"8963";"9733";"";"";""
"8965";"9734";"";"";""
"8968";"9735";"";"";""
"8969";"9736";"";"";""
"8973";"9737";"";"";""
"8976";"9738";"";"";""
"8979";"9739";"";"";""
"8981";"9740";"";"";""
"8985";"9741";"";"";""
"8986";"9746";"";"";""
"8987";"9749";"";"";""
"8990";"9751";"";"";""
"8992";"9754";"";"";""
"8995";"9757";"";"";""
"8996";"9758";"";"";""
"9001";"9761";"";"";""
"9003";"9766";"";"";""
"9007";"9767";"";"";""
"9012";"9768";"";"";""
"9013";"9771";"";"";""
"9022";"9773";"";"";""
"9023";"9774";"";"";""
"9024";"9777";"";"";""
"9025";"9779";"";"";""
"9028";"9785";"";"";""
"9031";"9789";"";"";""
"9032";"9791";"";"";""
"9034";"9794";"";"";""
"9035";"9796";"";"";""
"9037";"9797";"";"";""
"9038";"9800";"";"";""
"9040";"9801";"";"";""
"9044";"9802";"";"";""
"9045";"9804";"";"";""
"9046";"9809";"";"";""
"9049";"9810";"";"";""
"9052";"9811";"";"";""
"9053";"9812";"";"";""
"9055";"9813";"";"";""
"9056";"9814";"";"";""
"9057";"9817";"";"";""
"9058";"9821";"";"";""
"9059";"9823";"";"";""
"9060";"9827";"";"";""
"9061";"9828";"";"";""
"9065";"9830";"";"";""
"9070";"9831";"";"";""
"9071";"9834";"";"";""
"9072";"9835";"";"";""
"9073";"9836";"";"";""
"9076";"9837";"";"";""
"9077";"9841";"";"";""
"9079";"9843";"";"";""
"9080";"9844";"";"";""
"9081";"9847";"";"";""
"9082";"9848";"";"";""
"9083";"9850";"";"";""
"9084";"9852";"";"";""
"9085";"9854";"";"";""
"9086";"9858";"";"";""
"9087";"9863";"";"";""
"9091";"9866";"";"";""
"9096";"9868";"";"";""
"9097";"9873";"";"";""
"9101";"9876";"";"";""
"9102";"9880";"";"";""
"9103";"9885";"";"";""
"9104";"9886";"";"";""
"9105";"9889";"";"";""
"9106";"9890";"";"";""
"9109";"9891";"";"";""
"9112";"9893";"";"";""
"9115";"9894";"";"";""
"9118";"9896";"";"";""
"9119";"9897";"";"";""
"9120";"9899";"";"";""
"9123";"9901";"";"";""
"9129";"9904";"";"";""
"9130";"9905";"";"";""
"9131";"9906";"";"";""
"9132";"9907";"";"";""
"9133";"9908";"";"";""
"9138";"9909";"";"";""
"9139";"9910";"";"";""
"9141";"9914";"";"";""
"9144";"9915";"";"";""
"9145";"9919";"";"";""
"9146";"9922";"";"";""
"9147";"9923";"";"";""
"9148";"9924";"";"";""
"9152";"9926";"";"";""
"9155";"9928";"";"";""
"9157";"9929";"";"";""
"9158";"9932";"";"";""
"9159";"9937";"";"";""
"9160";"9940";"";"";""
"9161";"9941";"";"";""
"9164";"9942";"";"";""
"9167";"9944";"";"";""
"9168";"9945";"";"";""
"9169";"9948";"";"";""
"9170";"9950";"";"";""
"9172";"9951";"";"";""
"9176";"9952";"";"";""
"9178";"9962";"";"";""
"9180";"9964";"";"";""
"9182";"9965";"";"";""
"9184";"9967";"";"";""
"9185";"9968";"";"";""
"9188";"9969";"";"";""
"9190";"9971";"";"";""
"9191";"9973";"";"";""
"9192";"9974";"";"";""
"9194";"9978";"";"";""
"9199";"9980";"";"";""
"9205";"9982";"";"";""
"9207";"9983";"";"";""
"9208";"9985";"";"";""
"9210";"9986";"";"";""
"9211";"9987";"";"";""
"9212";"9988";"";"";""
"9213";"9990";"";"";""
"9215";"9992";"";"";""
"9216";"9995";"";"";""
"9217";"9997";"";"";""
"9220";"9999";"";"";""
"9221";"10001";"";"";""
"9223";"10003";"";"";""
"9224";"10004";"";"";""
"9225";"10006";"";"";""
"9228";"10008";"";"";""
"9229";"10012";"";"";""
"9232";"10014";"";"";""
"9234";"10015";"";"";""
"9236";"10019";"";"";""
"9237";"10022";"";"";""
"9239";"10027";"";"";""
"9240";"10028";"";"";""
"9245";"10031";"";"";""
"9247";"10032";"";"";""
"9248";"10033";"";"";""
"9252";"10034";"";"";""
"9255";"10040";"";"";""
"9261";"10043";"";"";""
"9263";"10044";"";"";""
"9265";"10045";"";"";""
"9266";"10046";"";"";""
"9273";"10051";"";"";""
"9275";"10052";"";"";""
"9277";"10054";"";"";""
"9279";"10056";"";"";""
"9281";"10057";"";"";""
"9282";"10060";"";"";""
"9283";"10061";"";"";""
"9286";"10062";"";"";""
"9289";"10063";"";"";""
"9292";"10067";"";"";""
"9294";"10068";"";"";""
"9296";"10069";"";"";""
"9297";"10072";"";"";""
"9300";"10074";"";"";""
"9302";"10078";"";"";""
"9305";"10079";"";"";""
"9307";"10080";"";"";""
"9310";"10083";"";"";""
"9312";"10085";"";"";""
"9315";"10086";"";"";""
"9316";"10090";"";"";""
"9318";"10095";"";"";""
"9320";"10097";"";"";""
"9322";"10099";"";"";""
"9324";"10105";"";"";""
"9327";"10106";"";"";""
"9328";"10109";"";"";""
"9330";"10110";"";"";""
"9331";"10112";"";"";""
"9333";"10117";"";"";""
"9334";"10119";"";"";""
"9336";"10122";"";"";""
"9341";"10124";"";"";""
"9344";"10125";"";"";""
"9345";"10126";"";"";""
"9346";"10128";"";"";""
"9347";"10129";"";"";""
"9348";"10130";"";"";""
"9349";"10131";"";"";""
"9351";"10132";"";"";""
"9352";"10136";"";"";""
"9354";"10139";"";"";""
"9357";"10142";"";"";""
"9358";"10144";"";"";""
"9360";"10145";"";"";""
"9361";"10148";"";"";""
"9362";"10149";"";"";""
"9368";"10150";"";"";""
"9373";"10151";"";"";""
"9376";"10154";"";"";""
"9378";"10155";"";"";""
"9379";"10156";"";"";""
"9380";"10157";"";"";""
